Experiment Index,Window Resize,P2P Call,Meeting,Close/Reject,Search,Channel Edit,Mirror,Phone Response,Enter Channel
0,288.6373375776358,634.9632978496495,926.0147843572977,390.0021255596999,1019.1889360869222,114.31706926784875,118.60095433145561,585.1305538311486,852.8732013347607
1,158.23796107739366,706.9998936844113,829.2623785959622,393.84291712676696,1016.9068672078263,124.36054730016538,124.66895773243999,741.0382380188428,900.0320050215903
2,272.0328818393245,658.600596519509,849.5098521452564,474.5659578549635,909.1625442598842,218.54020456321248,301.01666073785907,874.6791713254387,825.8883265165501
3,377.1409204378017,636.7282875488459,899.4079588884779,458.9873843270708,1025.7078356269685,326.5966975025765,218.12160022493896,820.6413356630674,901.1579719935551
4,233.5808654295148,639.1540220794842,951.2841235808211,538.9366695310473,1171.7702988761928,204.21558124918914,93.09696460966461,692.6329026036393,864.0501346563769
5,253.85345302616648,704.5876281747685,917.8294906673001,581.4987675596165,1039.3976287471135,134.58631592369974,113.0250583859675,693.3036144632811,918.7652528912002
6,321.0411170510345,609.0825337303668,907.7238639834733,404.3698469444958,1063.7141640708194,120.96337398651424,135.16514349937995,581.553083579853,898.4420597333302
7,282.75607258180764,595.320066187735,992.0719490496334,387.15454929803343,1017.5623285572208,223.80862958174748,159.25141073885464,678.3918857636259,1044.5587869833878
8,348.923781549329,629.6770879994933,867.8228822103622,348.06958042026577,1118.1719724782918,249.6442716623646,104.2923849963578,863.4043180524117,769.1578554602594
9,318.21713057765896,705.5109009225905,836.4964962001347,515.6141858341175,945.9490121287887,192.41598449989488,86.21450609620314,632.6843293649036,727.4573978951103
10,214.24772195549554,670.872028792312,822.3645950378443,476.8833312896794,1051.4764900719788,143.22926202794417,188.38404752628816,738.4714366564069,1026.898576711889
11,173.02162178989803,666.5165971414485,845.3826488864526,568.5283197852272,944.4319972626618,35.883927610503264,185.14330085910808,702.7098241861615,927.2592007404924
12,301.11767458483604,713.2527234013078,842.7901282565234,351.2823941801714,1099.0128903842156,192.89616226472833,144.67728192812842,742.9948198545961,766.9089503479834
13,201.075622432385,553.1023564707855,843.4841021775287,555.8347703083325,1176.5131815701432,215.30850262642736,105.70882333723263,801.0515476549032,824.2220445596733
14,314.02049245546925,524.901773716043,875.288255829091,352.14801581842636,983.513045728523,183.50495054260966,247.01725852805657,591.7189440246407,983.68552579741
15,333.29072416204264,702.6177615260001,919.8392275104434,538.8752328275061,1122.5109883698726,205.1207721122533,80.63631861463686,597.8353120391758,892.9252988040859
16,262.7061422060633,500.21431209746703,989.1194949618838,355.16245726036755,1009.7648498963065,161.70278880009982,76.4599998005793,724.8967613178515,756.907247718364
17,359.6425518175983,729.4912984596816,945.2735841258038,384.20869363069534,1031.7141553736733,288.2398437895116,180.27219165410352,676.851133791599,863.655137104019
18,191.567185438936,644.7220862051474,944.1992598304196,490.27961096789403,949.2363774065274,186.78865747986032,252.27645642558957,764.3091022773798,1014.4884180239827
19,269.0094515225186,780.7958627809355,939.8399268361832,416.5623167658973,1041.7915501584623,186.10601698625948,144.16814936200626,708.6037226495262,873.094217110302
20,288.9601771836536,571.6842165368396,839.1429884834529,374.6249026471793,1059.7348911516833,132.1007839502538,199.75316685445017,782.3406083364155,824.9020369169372
21,207.34369087655972,743.6480569407099,983.7480742531163,344.9937474135468,1022.1695753579029,204.8261217599568,145.58362892159747,793.3601192128434,785.3059941608872
22,357.19455787307504,744.0609114905463,771.5371519595819,493.8923717812836,1006.8653618501478,110.20094780276368,176.30952816400196,712.0527943943125,963.791454904451
23,352.9259669418979,650.0781340887651,840.9905795430254,378.17132138407806,1018.5883459683718,242.57774534695113,106.34130224174697,664.2452636806611,894.7220319274893
24,165.5821000802909,546.7851737150016,986.0513847743985,397.34939746471935,1052.2487444353642,149.27474266713423,183.3430247012915,739.1305444889701,891.0185635656892
25,419.4867778042039,643.3928226741227,896.8304191897289,454.0066349471389,946.0366177827252,58.30060127984237,300.5850227971328,606.2469119348075,751.8022253727999
26,239.5635192049649,553.9377942741083,981.0727327042526,586.0253012769268,1176.7157993588924,214.81920449585942,122.8838391742742,716.1798689548958,898.5281583340907
27,307.8221574453157,536.5975145461332,816.8713633467603,504.6916695960533,1024.680824790377,293.29186136488977,232.9415906940496,611.1582959426426,1010.6814315095864
28,345.05225472767097,663.7425728259609,866.2788804787377,487.83463180463593,1096.1610882960308,112.22068048761705,245.4460926276907,578.137244663996,904.9008565007844
29,223.42774453520425,652.894108667067,922.3921026550997,483.4149751028508,1110.0485816470696,287.0378745105817,234.1024540326227,652.9305349263315,1058.4992552583215
30,164.09449585805513,675.8131020586924,838.3785577113393,489.7480050808712,1025.5145329108268,99.7089061632196,95.85350155448582,860.4866267483064,810.3497141621657
31,151.24312491165378,726.9167124234218,827.5418929213929,443.4690617719405,1057.5634110424921,270.97904720846054,137.66305319123012,799.3315386646611,802.5789002045458
32,372.70892096359114,513.7672404131605,991.8034616581606,563.6217801269562,964.5342357240894,205.18058925341967,251.4838519231597,790.2305172661714,935.4268486739293
33,188.69638953123547,585.2769962353264,882.8561405206384,536.3732636312292,1097.033091413975,271.41665456517853,293.3002419900605,687.7931489588062,761.9615333337398
34,282.167687949816,526.3412917499539,928.887838836593,427.3112956696522,985.4998703440689,187.05882064712935,204.74970950547433,688.4978708139276,861.7758847691823
35,325.25425624971996,636.9509380322751,951.7645341074539,501.37314276821184,1013.1175305391366,243.2513333616195,209.99400890352848,682.8008661266377,748.5492158281844
36,251.96133468915306,616.1386738606266,927.2722973120403,588.688512418863,1147.2924393192834,236.15048268077612,147.17856676969936,826.6047997590937,861.0043768894075
37,246.05988299218882,550.4796380618374,971.2616652988777,544.7357904460847,1048.5586545517926,210.48304172677817,182.90704449743282,586.1236599734019,857.7102062705295
38,199.03229870046144,746.793507193795,888.7069531516286,353.36583860852215,1101.393958124324,218.41060247788278,152.3544448959521,797.7483093934463,882.4705244123895
39,414.08100008607346,669.4332969400434,860.480648011839,307.243598632719,1057.6059040937596,286.22175969466286,210.30975202938203,720.0439383185465,1030.2960956708425
40,245.70837173721145,546.210298327761,957.9385271615839,524.8710617717857,1055.553922330487,183.9773055436904,260.0218948714204,740.7216821162376,956.7622146329427
41,356.3769497730641,645.8451555878339,913.1506910504235,407.33558697343676,894.546206577073,126.21322655842835,321.20119220203253,771.7783206808735,845.1583710745685
42,262.61369482046564,475.46067961181154,945.0649572019188,424.19412622652635,914.1810583580973,177.65335555901075,57.1545301878716,594.3266716488503,874.9304141979774
43,167.15168543748564,583.5982273601776,1070.5103443268376,399.70804637008837,1007.0461980154159,260.8061594330237,126.83009484604956,724.2805570963862,832.1784035628266
44,248.2862116424563,674.6626309332569,893.1123232628286,391.2187900735337,884.868828728043,217.97176765353188,200.06003122171148,727.1705391807895,933.6665293575413
45,296.2732984713406,608.5938215629436,989.6490934192716,380.51341120200254,944.0170922982801,275.30682028368597,77.95372295914886,741.6507524627476,827.1416096587055
46,299.31554065987604,723.6468888615236,1009.6463094931205,428.4672002616812,1123.6611767720467,302.5027896425119,14.923887118834273,699.0658215933673,978.1313383107622
47,304.30870983379225,629.676056295582,880.1184163613735,442.72669058418614,945.4488719010627,160.61386544734057,163.0012282390472,867.0252352628332,844.939551182028
